Idx,Subcommunity species,Fitness,Shannon diversity sim,End abundance
116,"1320,1324,1329",1275514354.1979256,0.7778303828766049,"820642519.593782,403106328.52199554,51765506.08214802"
117,"1320,1324,1330",1235021357.6293638,0.710232086222443,"787652633.3330084,431493622.44120914,15875101.855146162"
118,"1320,1324,1331",1233357220.3598285,0.9397692885053754,"430646411.1218371,133478791.08980256,669232018.1481887"
119,"1320,1324,1334",1412101924.6384168,1.0496490819055213,"684903555.1661372,364945291.44007325,362253078.0322064"
120,"1320,1324,1337",1274878098.030738,0.8346606581591292,"801452542.588828,388260435.5636184,85165119.87829193"
121,"1320,1324,1338",1346234837.0130453,0.907407211279181,"826472236.5879499,356221190.7882602,163541409.63683504"
122,"1320,1324,1336",1272147938.6368282,0.7465414098078125,"841123571.9095523,390121678.1699382,40902688.557337545"
123,"1320,1324,1538",1019344962.2226868,1.0657864941756356,"419291233.86524236,223063914.69948742,376989813.657957"
124,"1320,1325,1327",1532167232.463275,1.0914814264773665,"562127569.6249176,543653595.1161333,426386067.722224"
125,"1320,1325,1329",1507631242.9568355,0.8189837785179961,"725746822.641411,730041303.30563,51843117.00979458"
126,"1320,1325,1330",1480498086.5746253,0.7430002830769936,"685964719.2667824,778669299.2335019,15864068.07434098"
127,"1320,1325,1331",1312288217.347413,1.0392102937629784,"412391014.0342876,266673972.15988392,633223231.1532416"
128,"1320,1325,1334",1601032558.4453123,1.0491578226818548,"622445265.228198,670039787.8157002,308547505.40141416"
129,"1320,1325,1337",1500924099.5786183,0.8631257201208563,"719508669.7390649,702188226.9590796,79227202.88047384"
130,"1320,1325,1338",1532063182.6478598,0.9156665584616193,"749775824.1487113,658735766.4842805,123551592.01486808"
131,"1320,1325,1336",1498336721.502957,0.7974987919489551,"751187583.9283699,707025736.2155823,40123401.359004945"
132,"1320,1325,1538",1150940708.3077254,1.0967310150656222,"417127749.6213211,368072202.0698342,365740756.61657035"
133,"1320,1327,1329",1570643211.279345,0.8139368259988276,"751769366.9315373,767802936.6148356,51070907.73297221"
134,"1320,1327,1330",1552320390.653184,0.7402341155236902,"704127282.4312594,832088671.2263992,16104436.995525243"
135,"1320,1327,1331",1325685376.5482452,1.0340993380055952,"381553104.3194465,281476363.64453197,662655908.5842667"
136,"1320,1327,1334",1653690587.905151,1.0248765933636657,"640186180.1905775,739912668.345512,273591739.3690615"
137,"1320,1327,1337",1560561688.1924736,0.8714656932437642,"724896938.9621674,747225637.3444021,88439111.88590407"
138,"1320,1327,1338",1583496404.6711924,0.9088602477716541,"773171713.7455653,689072554.3293005,121252136.59632668"
139,"1320,1327,1336",1558550552.7482715,0.7874796511096658,"778282414.7191803,743895561.6658305,36372576.36326082"
140,"1320,1327,1538",1107237238.321622,1.0952571720271451,"391996695.82717514,326807328.5659915,388433213.9284551"
141,"1320,1329,1330",1327679991.026271,0.2556234117316388,"1248564997.0409973,63320600.332346715,15794393.65292714"
142,"1320,1329,1331",1279251978.873489,0.7839543721465234,"450668883.3419937,44297008.030570455,784286087.5009248"
143,"1320,1329,1334",1546866817.6943717,0.7743135555113546,"976524384.6805604,54382346.35206504,515960086.66174626"
144,"1320,1329,1337",1338665442.2343311,0.4448307012594941,"1177607005.343954,55081841.345004,105976595.54537286"
145,"1320,1329,1338",1501178879.836769,0.6514583003162404,"1146617258.329277,57609557.98227012,296952063.5252218"
146,"1320,1329,1336",1335840968.2990983,0.3128567097584564,"1237854728.7359424,52704003.812535085,45282235.75062073"
147,"1320,1329,1538",955396034.3510939,0.8589115451559096,"462412070.69755375,48662919.00175807,444321044.65178204"
148,"1320,1330,1331",1240296564.5232615,0.6902067318404503,"398727560.1802892,15477821.029811762,826091183.3131607"
149,"1320,1330,1334",1534568854.6414685,0.7062377239261451,"963322291.5069368,15371323.443642845,555875239.6908889"
150,"1320,1330,1337",1312760521.2810998,0.3864008024215031,"1167189504.5106232,15766134.70041837,129804882.07005818"
151,"1320,1330,1338",1479771544.1696663,0.5636774571918559,"1161271826.5969424,15994581.955158569,302505135.6175653"
152,"1320,1330,1336",1313225598.274952,0.22701445604786982,"1247225879.493007,15891368.491022991,50108350.29092195"
153,"1320,1330,1538",908963378.6578237,0.7689853896506086,"431127541.8786387,16017497.222332397,461818339.5568526"
154,"1320,1331,1334",1361244104.1353135,0.9858118616014758,"454176162.7937224,709680403.8456857,197387537.49590528"
155,"1320,1331,1337",1285059657.5936546,0.8294708489097953,"447705749.21690774,769639529.8206041,67714378.55614287"
156,"1320,1331,1338",1300880033.0155253,0.8542618425420754,"474388900.3832298,748700625.0390173,77790507.5932782"
