,1319,1320,1321,1323,1324,1325,1327,1329,1330,1331,1334,1337,1338,1336,1538
glutamine,-2.284836791595866,-1.3692828726015538,-1.689734907194843,-2.281899507234602,-2.43052766842655,-2.334606073210722,-2.93506825836558,-3.5774786962105467,-0.9128440821803807,-1.6848219369546364,-1.8590343112557233,-1.9000673494328182,-1.653791096524781,-3.1420215044769297,-2.0956918887628326
glycine,-1.8844078391721593,-2.4228480468545435,-2.2463869214935737,2.370651695794348,-2.0674927826327902,-1.7219786807921726,-3.23554194617053,-3.7690303392666635,-0.798645525520125,-1.8479695696621583,-0.8910609463356147,-2.284064539621551,-2.810198829884767,-2.6651447728594784,-2.0217687264522537
histidine,-2.053613493268333,-2.5205081617712435,-2.796555492255851,2.4729412739513457,-2.6012465010787427,-1.9857375261263357,-2.4138104716573063,-2.65502817971254,-3.169844196487585,-1.9504270020990844,-4.117649839896716,-2.2708267526998767,-2.682159446148389,-3.2197863136915403,-2.344194979314435
isoleucine,-2.0371748099991462,-2.217526205643277,-2.4180312932340793,-2.246124654839473,-1.7761412915114978,-1.9902595817185829,-2.479870611462317,-4.206104871042371,-3.4658543680247433,-2.083584544653797,-1.9551423739170875,-2.0215439381531324,-2.8497513449980327,-2.4876089550195615,-1.9530736790969594
leucine,-1.9197235804447357,-2.2761098150956034,-2.7883128907142103,-2.032753858552131,-1.8749604876010122,-2.0132747662475916,-2.718727661268813,-3.3997707144025826,-3.527950714752121,-1.9648411546597826,-2.098534283176205,-2.1725821903577995,-2.765071344735211,-2.4982672686641854,-2.349128641278706
lysine,-2.160567285749369,-2.266015653754581,-3.2743738316260917,-1.6640055354153673,-1.921966856659576,-1.963897163714091,-2.227534806731473,-3.3053508743274738,-3.082220067383524,-1.995514196783208,-3.116866240849244,-1.9447796908618047,-2.052927741902648,-2.391565038864603,-1.9821034585473423
methionine,-2.184354237931109,-2.765116660025503,-2.4492151395601804,-1.8858987634437536,-1.7300988760510465,-1.8398839738306814,-3.348980543123821,-3.0135165690678596,-3.797262272998773,-2.373794812384369,-2.6177498940676784,-2.1928254254653883,-3.003741561721981,-2.4930701374144317,-2.9999961042959713
phenylalanine,-1.882132989245697,-3.010931556357509,-2.075497594078554,-2.6717427674969274,-1.7392818271098047,-1.8380856169269069,-3.4745675966026885,-2.69287199046419,-3.296898710065319,-2.1203789577479544,-2.5657845057139084,-2.160075504753948,-2.817565961177517,-2.909458207890321,-2.4672468551478595
proline,-1.7584814240459505,-1.3717241214243399,-1.7189246248474022,-2.357799327326256,-2.330716344577482,-1.9513984727869802,-3.034479329639169,-3.5073847924108614,-3.248797206422881,-1.767211365378481,-2.922117218165955,-2.0717802150954814,-3.6751216096968586,-3.046611410706179,-2.538048462937302
serine,-1.9891211177339354,-1.4065935630676867,2.6591928538624057,-2.3679336234630735,-2.3799485881383178,-2.213070632141104,-3.759110324377488,-3.093825798555046,-0.9145789915496674,-1.500371062138723,-1.9102564915905933,-1.892527783747513,-4.132659698178479,-3.7131431904785215,-1.803451879036742
threonine,-2.05770612211217,-3.2471720077042185,-2.6854058301100885,-2.4877790207283184,-2.5865556214784653,-2.121515163094193,-3.3632162446462712,-3.561115966561116,-3.849775889031746,-1.6489962813608006,-2.547182979001092,-2.0420034464788,-3.4479899285077886,-3.4555165214962407,-1.8046153235803426
tryptophan,-2.1266663689837064,-2.611854480102486,-2.4194963729071195,-2.687604756189558,-2.413477675915896,-2.284684095777393,-4.405857772713856,-3.2576171720531413,-3.5246551155218953,-4.502796038858433,-3.951810045187968,-2.2616686040035123,-2.8257987589864833,-3.2462229038377117,-3.2064003611874097
tyrosine,-1.9419440459251978,-2.6419735449041974,-2.387868066876787,-2.5589134114146663,-1.90878032163587,-2.2124590026294255,-3.7812450873951886,-3.0399764353664485,-2.975061549886332,-2.4051792558823957,-2.2835586808023725,-2.131280660549876,-2.74881644429712,-3.1338414491576065,-2.671935864841975
valine,-1.9277655230986612,-2.5029981487839867,-2.4745616291184267,-2.712977666285399,-2.077300706871757,-1.9196411932286495,-2.6365440420776447,-3.0389124460057158,-3.165054393324443,-1.846072357953508,-2.1382895612506,-2.0946462030531383,-4.428467215543609,-1.8737463685717606,-2.014974286405617
