,1319,1320,1321,1323,1324,1325,1327,1329,1330,1331,1334,1337,1338,1336,1538
citric acid,-6.778967476393169e-14,-8.61707973622568e-12,-8.930944933861256e-11,-5.145569966268645e-13,-7.478344127653137e-14,-2.949155526169219e-14,-1.5949919201610006e-11,-1.759279673375663e-11,2.4346416779429564e-24,-2.255458781952752e-11,-7.450349623724052e-11,-5.904462251002514e-12,5.581170616628731e-18,-6.028120504808149e-14,-3.049963083194634e-13
pyruvic acid,-2.515045590539065e-11,-1.9530965965762863e-11,-6.431432086185926e-11,-1.651235880219879e-12,-3.4715040033221894e-12,-2.293818773453732e-12,-5.236969089163308e-12,-5.907720019086057e-11,-5.447181776601531e-26,-3.907296959218989e-12,-7.596200234759708e-12,-5.701174687579663e-12,-1.751304744243106e-14,-2.6144116727744863e-14,-2.716535603580579e-12
alpha-ketoglutaric acid,-1.8249379326492256e-12,-2.3189664078569472e-11,-5.859005333990269e-11,-1.4485031471744237e-12,-3.9010875476423845e-13,-1.253573507592263e-13,8.970732163082524e-13,-2.8595856742496096e-11,-3.4593308009311257e-15,-2.8817392854653976e-12,1.0170433432378169e-13,-5.3283893928638476e-14,-4.1416165580440926e-16,-3.571700229996057e-15,-1.2625480840829512e-12
citrulline,-3.8750672325528556e-13,-1.0978740867702809e-12,2.0586941383494458e-12,-1.2524844144407433e-13,-2.473108082852883e-13,-2.0511281291529145e-13,-2.508470873767773e-13,2.089438052397314e-13,4.6713498948047585e-29,-2.767563072744729e-14,-1.4711436164208848e-13,-5.150785012391206e-12,-1.207629234526633e-15,-4.7728667580977136e-15,-1.783121210907899e-13
succinic acid,-1.008618846847337e-13,-1.1002179981899912e-11,-1.0372265259102971e-10,-6.293846909061231e-13,-1.1212469461037357e-13,-2.7687495865867996e-13,-2.5851268509738936e-11,-3.7041068290441637e-14,-2.974713397662759e-15,-3.316214626384176e-13,-1.4364940720357577e-12,-3.787501884358426e-13,-2.5797362810206127e-16,-7.055822956580917e-14,-9.454295546000277e-14
alanine,-2.404541785542501e-11,-1.284973081652679e-11,-2.0310462528289187e-11,-9.967977749474517e-13,-1.849784722271592e-12,-5.603713084322966e-12,-8.433430033102111e-13,-3.780236851011587e-13,-1.3386904811641644e-15,-2.268042580698133e-11,-3.457767343489249e-11,-6.714362769869716e-12,-5.7958417206081016e-18,-2.4123075096918284e-14,-2.973476166999655e-12
arginine,-1.61329219432025e-11,-1.6796178318665315e-11,1.5872575442965678e-14,-7.994567508619516e-12,-2.223461209885846e-12,-9.114228865603134e-12,-1.2163610656196648e-11,-2.696776808409727e-13,-4.89394095534934e-30,-7.913927359188922e-12,-4.119220789903617e-11,-1.3116779745946592e-11,-1.0039597275400837e-15,-3.215005480228757e-13,-1.1287791333026734e-11
asparagine,-9.098859629214144e-12,-8.082316479041797e-11,-1.343582766245499e-10,-1.911133484913603e-12,-9.075744796561516e-13,-2.291637063715605e-12,-1.0064373675120978e-12,-2.400818441403324e-13,-1.7209194812573398e-14,-2.6498491431993737e-11,-2.690788371743541e-10,-5.79105056229533e-12,-5.559264969701769e-12,-5.27181310068468e-15,-9.108784122696623e-12
aspartic acid,-4.877695487149383e-12,-3.536824309306841e-11,-1.186232442428565e-10,-3.2270505658675444e-12,-2.042427220708278e-12,-1.2533142750250857e-12,-6.019837964744003e-13,-4.173744672562651e-13,-1.3507770465889095e-19,-1.5170752362986455e-11,-3.1832145376186775e-11,-1.3815007077843729e-11,-2.283134638943212e-15,-2.950060997507976e-15,-2.0642073799570235e-11
glutamic acid,-1.907951230761575e-12,-3.695354308208208e-11,-4.373805772112096e-11,-1.354570648133352e-12,-1.1061204200241645e-12,-5.483529266032771e-13,-1.1573768434421259e-12,-3.7333098103338763e-13,-5.150020589433461e-15,-8.71695556950757e-12,-1.6416069717700588e-10,-8.943299092331202e-12,-6.4395237877421485e-18,-2.30959867404056e-11,-9.153058878912683e-14
glutamine,-8.495490345840925e-12,-5.1151275247008886e-11,-1.120827945160175e-10,-4.01458188695383e-12,-1.9470638870489186e-12,-2.849240376357228e-12,-2.5837641739482813e-12,-1.0777924750040697e-13,-3.2885928077074857e-15,-2.0448013854195328e-11,-5.5749693262540275e-11,-1.2227668798988598e-11,-4.417448697016899e-12,-8.27224736864084e-15,-8.171916258414561e-12
glycine,-2.0921039987013284e-11,-9.933803808278558e-12,-2.5220925487233878e-11,-4.947733294204651e-12,-3.4073657665699025e-12,-1.0748387517561492e-11,-1.4293773959371708e-12,-6.800688386670991e-14,-1.062888567381554e-14,-1.4096120761656976e-11,-8.758719693105626e-10,-4.711259393773653e-12,-1.526840052405847e-14,-4.9881942418142256e-14,-9.643087357262068e-12
