,Lysobacter,Burkholderia,Variovarax,Chitinophaga,Niastella,Mucilaginibacter,Rhizobium,Bosea,Methylobacterium,Arthrobacter,Rhodococcus,Brevibacillus,Paenibacillus,Marmoricola,Bacillus
glycine,-0.9998715665896408,-0.9998446758443469,-0.999298144293512,-0.9998949917827132,-0.9996786114447526,-0.9998715665896408,-0.8106840479025796,-0.10026510092685059,-0.9823340690693251,-0.9942653576055089,-0.9993916656204538,-0.9999338490899289,-0.010820565398611759,-0.0807018003044857,-0.9987797860748697
histidine,-0.9990612682952152,-0.9991119575416604,-0.9897887572966592,-0.9987760236712059,-0.9991113759689064,-0.9905256510096119,-0.9986708145375199,-0.32006470203154946,1.3139897776124485,-0.9995824506619808,-0.1158521225523318,-0.9985533938891592,-0.05558838142464828,-0.06308943333195915,-0.9993592467255322
isoleucine,-0.9999975158798174,-0.9999975158798174,-0.9999677695060573,-0.9999979620444505,-0.9999975158798174,-0.9845071168742172,-0.9031767637489754,-0.029216131199906514,0.09837559230398973,-0.9911829463123446,-0.9996105301011089,-0.9999936998142267,-0.09050389843866324,-0.26680073331094056,-0.9919162959788376
leucine,-0.9999990153062253,-0.9999842244672086,-0.9999703873336755,-0.9999990884385966,-0.9999990153062253,-0.9926248686298494,-0.9706645224894076,-0.08044774351482609,0.775406948720496,-0.8949786709835353,-0.9996406497990157,-0.9999975522592647,-0.015849097607960605,-0.09402348176185538,-0.9343907004236036
lysine,-0.999992904022219,-0.999992904022219,3.0,-0.9999936695795953,-0.999992904022219,-0.999992904022219,-0.999992904022219,0.46009197737687413,1.2360920327448577,-0.9978463935420314,-0.731898327096719,-0.9999847764150132,-0.42289754585588457,-0.17311763964224092,-0.944507858055091
methionine,-0.9999732109791523,-0.9999582144152833,-0.9996945787503277,-0.9999131317516136,-0.9998772773966278,-0.995821023271566,-0.7143246519990105,-0.2623893897527497,-0.1869584946335039,-0.8316368494860991,-0.9885746122294172,-0.9989132288846557,-0.04636805888235629,-0.12912069448648222,-0.6503051591373514
phenylalanine,-0.9999976703343676,-0.9999976703343676,-0.99997942994115,-0.9995040874011576,-0.9997235315904064,-0.9979475168197112,-0.15599638630187962,-0.09316593996416245,0.7429568507676425,-0.9935162488018983,-0.9966246413301645,-0.9995268672935402,-0.017238769154583222,-0.19224960505646038,-0.813200198207529
proline,-0.9999764285723638,-0.9997793948988731,-0.9639874551790408,-0.9999802286091526,-0.9996341019869979,-0.9981270039292306,-0.9615297927415795,-0.2422859492942102,0.06927426163653871,-0.9996169831889273,-0.6157470650196115,-0.9986305894059522,0.20382284829024844,-0.0699532839251169,-0.9181195795688507
serine,-0.9999824953812532,-0.9999824953812532,-0.9999634409388367,-0.999392445995817,-0.9997145434297862,-0.9932521182623596,-0.5763065410235313,-0.04387087339597118,-0.999963683316486,-0.9999634409388367,-0.9999634828275167,-0.9999636403301458,0.3099405953481087,-0.04835028816771736,-0.9999626907435735
threonine,-0.9999731615195888,-0.9999834224204301,-0.984419409821515,-0.9995933349451577,-0.9999051692823292,-0.9829437547057684,-0.8201645660402692,-0.10877262062611692,-0.600012217345998,-0.9244458633228513,-0.9769442534193379,-0.9924837947485573,0.3573695094691529,-0.03127545039776125,-0.9677263711630321
