species,metabolite,metabolite_class,time,median_val,median_usage
Brevibacillus,leucine,Amino_Acid,29.0,0.00015873383695601799,-0.999841266163044
Brevibacillus,leucine,Amino_Acid,44.5,2.447740735301317e-06,-0.9999975522592647
Brevibacillus,lysine,Amino_Acid,12.5,0.7392973467115257,-0.2607026532884743
Brevibacillus,lysine,Amino_Acid,19.5,1.3173052413599596e-05,-0.9999868269475864
Brevibacillus,lysine,Amino_Acid,29.0,0.0003975339663004262,-0.9996024660336996
Brevibacillus,lysine,Amino_Acid,44.5,1.5223584986804958e-05,-0.9999847764150132
Brevibacillus,methionine,Amino_Acid,12.5,0.8773637066007862,-0.12263629339921378
Brevibacillus,methionine,Amino_Acid,19.5,0.0009415410324975118,-0.9990584589675024
Brevibacillus,methionine,Amino_Acid,29.0,0.0017309664643930943,-0.9982690335356069
Brevibacillus,methionine,Amino_Acid,44.5,0.0010867711153442969,-0.9989132288846557
Brevibacillus,phenylalanine,Amino_Acid,12.5,0.7748258492657809,-0.2251741507342191
Brevibacillus,phenylalanine,Amino_Acid,19.5,6.727684646755677e-05,-0.9999327231535324
Brevibacillus,phenylalanine,Amino_Acid,29.0,0.0006886342762466833,-0.9993113657237533
Brevibacillus,phenylalanine,Amino_Acid,44.5,0.0004731327064597746,-0.9995268672935402
Brevibacillus,proline,Amino_Acid,12.5,0.9278935886861712,-0.07210641131382878
Brevibacillus,proline,Amino_Acid,19.5,0.043207249318466714,-0.9567927506815332
Brevibacillus,proline,Amino_Acid,29.0,0.0016191531571108954,-0.9983808468428891
Brevibacillus,proline,Amino_Acid,44.5,0.0013694105940478337,-0.9986305894059522
Brevibacillus,serine,Amino_Acid,12.5,0.6376657599455967,-0.3623342400544033
Brevibacillus,serine,Amino_Acid,19.5,3.730925642651942e-05,-0.9999626907435735
Brevibacillus,serine,Amino_Acid,29.0,3.706723997331159e-05,-0.9999629327600267
Brevibacillus,serine,Amino_Acid,44.5,3.6359669854197727e-05,-0.9999636403301458
Brevibacillus,threonine,Amino_Acid,12.5,0.7352695169200891,-0.26473048307991087
Brevibacillus,threonine,Amino_Acid,19.5,0.003588059709277837,-0.9964119402907221
Brevibacillus,threonine,Amino_Acid,29.0,0.001790176055940335,-0.9982098239440597
Brevibacillus,threonine,Amino_Acid,44.5,0.007516205251442674,-0.9924837947485573
Brevibacillus,tryptophan,Amino_Acid,12.5,0.8219803434617717,-0.17801965653822827
Brevibacillus,tryptophan,Amino_Acid,19.5,0.03851212640183923,-0.9614878735981608
Brevibacillus,tryptophan,Amino_Acid,29.0,4.696073786004318e-05,-0.99995303926214
Brevibacillus,tryptophan,Amino_Acid,44.5,1.6811013029123482e-06,-0.9999983188986971
Brevibacillus,tyrosine,Amino_Acid,12.5,0.7686898965192488,-0.2313101034807512
Brevibacillus,tyrosine,Amino_Acid,19.5,2.301995709425297e-06,-0.9999976980042906
Brevibacillus,tyrosine,Amino_Acid,29.0,9.744430063513175e-05,-0.9999025556993648
Brevibacillus,tyrosine,Amino_Acid,44.5,2.2758012854522192e-06,-0.9999977241987146
Brevibacillus,valine,Amino_Acid,12.5,0.8322881011762022,-0.16771189882379778
Brevibacillus,valine,Amino_Acid,19.5,3.030973059044416e-06,-0.9999969690269409
